Run,ST,LB,BB,LA,Hardness,Cohesiveness,Adhesiveness,Springiness,Gumminess
1,2,2,2,2,71.38,0.42,-65.58,0.87,30.28
2,2,2,2,1,74.84,0.44,-88.26,0.93,32.82
3,2,2,1,2,78.04,0.42,-75.88,0.81,32.6
4,2,2,1,1,92.35,0.42,-95.4,0.99,38.67
5,2,1,2,2,80.56,0.44,-124.17,0.79,35.26
6,2,1,2,1,85.07,0.42,-127.97,1,35.56
7,2,1,1,2,84.18,0.44,-119.81,0.97,36.77
8,2,1,1,1,99.12,0.43,-145.69,1.07,42.79
9,1,2,2,2,91.8,0.46,-213.01,0.98,42.28
10,1,2,2,1,92.53,0.45,-220.6,0.98,41.38
11,1,2,1,2,90.59,0.43,-172.67,0.97,38.71
12,1,2,1,1,89.37,0.42,-148.83,0.69,37.41
13,1,1,2,2,95.78,0.43,-169.3,0.51,40.8
14,1,1,2,1,109.14,0.41,-206.2,0.88,44.85
15,1,1,1,2,102.43,0.42,-164.33,0.75,42.87
16,1,1,1,1,100.64,0.41,-167.17,0.74,41.4
17,2.5,1.5,1.5,1.5,88.88,0.42,-84.63,0.97,37.03
18,0.5,1.5,1.5,1.5,90.32,0.4,-103.34,0.88,36.15
19,1.5,2.5,1.5,1.5,78.97,0.41,-101.28,0.96,32.53
20,1.5,0.5,1.5,1.5,86.52,0.4,-119.3,1,34.65
21,1.5,1.5,2.5,1.5,87.45,0.43,-136.24,1.03,37.26
22,1.5,1.5,0.5,1.5,108.95,0.42,-130.42,0.88,46.02
23,1.5,1.5,1.5,2.5,83.62,0.43,-129.33,1,35.71
24,1.5,1.5,1.5,0.5,107.11,0.42,-136.67,1.02,44.93
25,1.5,1.5,1.5,1.5,73.65,0.46,-118.72,0.82,33.68
26,1.5,1.5,1.5,1.5,73.65,0.46,-118.7,0.82,33.68
27,1.5,1.5,1.5,1.5,72.78,0.45,-117.67,0.81,33.56
28,1.5,1.5,1.5,1.5,73.65,0.46,-118.45,0.82,33.68
29,1.5,1.5,1.5,1.5,73.66,0.46,-118.46,0.82,33.66
30,1.5,1.5,1.5,1.5,72.89,0.46,-116.89,0.8,32.89
31,1.5,1.5,1.5,1.5,72.65,0.46,-116.67,0.81,33.34
